Date,Name,Year,Letterboxd URI,TMDB URI
2016-11-13,12 Angry Men,1957,https://boxd.it/2auI,https://www.themoviedb.org/movie/389/
2016-11-13,The Tree of Life,2011,https://boxd.it/1Zu8,https://www.themoviedb.org/movie/8967/
2016-11-13,Death of a Shadow,2012,https://boxd.it/4F9K,https://www.themoviedb.org/movie/146893/
2016-11-15,Valhalla Rising,2009,https://boxd.it/17lc,https://www.themoviedb.org/movie/37861/
2016-12-04,My Own Private Idaho,1991,https://boxd.it/2ak4,https://www.themoviedb.org/movie/468/
2016-12-04,THX 1138,1971,https://boxd.it/29Ww,https://www.themoviedb.org/movie/636/
2016-12-04,Oldboy,2003,https://boxd.it/29R2,https://www.themoviedb.org/movie/670/
2016-12-04,Annie Hall,1977,https://boxd.it/29M2,https://www.themoviedb.org/movie/703/
2016-12-04,Batman: Under the Red Hood,2010,https://boxd.it/11eE,https://www.themoviedb.org/movie/40662/
2016-12-04,Chinatown,1974,https://boxd.it/29vU,https://www.themoviedb.org/movie/829/
2016-12-04,Clerks,1994,https://boxd.it/2706,https://www.themoviedb.org/movie/2292/
2016-12-04,Dirty Harry,1971,https://boxd.it/299E,https://www.themoviedb.org/movie/984/
2016-12-04,Dog Day Afternoon,1975,https://boxd.it/29bg,https://www.themoviedb.org/movie/968/
2016-12-04,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,https://www.themoviedb.org/movie/935/
2016-12-04,Dredd,2012,https://boxd.it/GZE,https://www.themoviedb.org/movie/49049/
2016-12-04,Drive,2011,https://boxd.it/IG,https://www.themoviedb.org/movie/64690/
2016-12-04,Fargo,1996,https://boxd.it/2aHM,https://www.themoviedb.org/movie/275/
2016-12-04,In Bruges,2008,https://boxd.it/20n8,https://www.themoviedb.org/movie/8321/
2016-12-04,Infinitely Polar Bear,2014,https://boxd.it/7bne,https://www.themoviedb.org/movie/244539/
2016-12-04,Inside Out,2015,https://boxd.it/4KHC,https://www.themoviedb.org/movie/150540/
2016-12-04,Mad Max: Fury Road,2015,https://boxd.it/2DjO,https://www.themoviedb.org/movie/76341/
2016-12-04,Mystic River,2003,https://boxd.it/2aAG,https://www.themoviedb.org/movie/322/
2016-12-04,Pulp Fiction,1994,https://boxd.it/29Pq,https://www.themoviedb.org/movie/680/
2016-12-04,Revolutionary Road,2008,https://boxd.it/24Le,https://www.themoviedb.org/movie/4148/
2016-12-04,Serpico,1973,https://boxd.it/1ZjE,https://www.themoviedb.org/movie/9040/
2016-12-04,Shame,2011,https://boxd.it/2CxU,https://www.themoviedb.org/movie/76025/
2016-12-04,Taxi Driver,1976,https://boxd.it/2b8y,https://www.themoviedb.org/movie/103/
2016-12-04,The Big Short,2015,https://boxd.it/ajZw,https://www.themoviedb.org/movie/318846/
2016-12-04,The Informant!,2009,https://boxd.it/1U8c,https://www.themoviedb.org/movie/11323/
2016-12-04,The Lobster,2015,https://boxd.it/7tnw,https://www.themoviedb.org/movie/254320/
2016-12-04,The Revenant,2015,https://boxd.it/8H5e,https://www.themoviedb.org/movie/281957/
2016-12-04,The Shining,1980,https://boxd.it/29Nu,https://www.themoviedb.org/movie/694/
2016-12-04,The Martian,2015,https://boxd.it/8SeG,https://www.themoviedb.org/movie/286217/
2016-12-04,True Grit,2010,https://boxd.it/Sog,https://www.themoviedb.org/movie/44264/
2016-12-04,Whiplash,2014,https://boxd.it/7bQA,https://www.themoviedb.org/movie/244786/
2016-12-04,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,https://www.themoviedb.org/movie/127585/
2016-12-04,Zodiac,2007,https://boxd.it/27MO,https://www.themoviedb.org/movie/1949/
2016-12-04,Anomalisa,2015,https://boxd.it/97TE,https://www.themoviedb.org/movie/291270/
2016-12-04,The Jungle Book,2016,https://boxd.it/8wjk,https://www.themoviedb.org/movie/9325/
2016-12-04,The Damned United,2009,https://boxd.it/1ByU,https://www.themoviedb.org/movie/21641/
2016-12-04,A History of Violence,2005,https://boxd.it/2bfa,https://www.themoviedb.org/movie/59/
2016-12-04,Carrie,1976,https://boxd.it/20ZQ,https://www.themoviedb.org/movie/7340/
2016-12-04,Circle,2015,https://boxd.it/b5So,https://www.themoviedb.org/movie/335866/
2016-12-04,Coherence,2013,https://boxd.it/6xza,https://www.themoviedb.org/movie/220289/
2016-12-04,Dawn of the Dead,1978,https://boxd.it/29gU,https://www.themoviedb.org/movie/923/
2016-12-04,Deep Red,1975,https://boxd.it/1E1E,https://www.themoviedb.org/movie/20126/
2016-12-04,Eastern Promises,2007,https://boxd.it/275q,https://www.themoviedb.org/movie/2252/
2016-12-04,Frank,2014,https://boxd.it/5hII,https://www.themoviedb.org/movie/171372/
2016-12-04,Fruitvale Station,2013,https://boxd.it/4VRy,https://www.themoviedb.org/movie/157354/
2016-12-04,Halloween,1978,https://boxd.it/2wRu,https://www.themoviedb.org/movie/948/
